id;first_name;last_name;email;phone_number;age
1;Mafalda;Davis;Antonietta_Skiles57@gmail.com;bypass Plastic Planner;91243
2;Fleta;Borer;Isabelle76@gmail.com;Buckinghamshire;77190
3;Elizabeth;Boyle;Maxime_Armstrong@yahoo.com;Missouri;35018
4;Malachi;Connelly;Fabian_McGlynn66@gmail.com;withdrawal;39914
5;Yazmin;Walter;Franz_Sipes78@yahoo.com;Consultant;12066
6;Enrico;Bernier;Shirley20@gmail.com;Customer Uzbekistan Sum reinvent;19215
7;Ellis;Grady;Jonas.Mann@gmail.com;XSS Movies Congolese Franc;47998
8;Amani;Franecki;Jackeline87@gmail.com;software;50343
9;Cicero;McDermott;Roger.Fay@gmail.com;Rustic Wooden Chicken;75902
10;Brendon;Schaefer;Talon_Balistreri@hotmail.com;Open-source Accountability Salad;45759
